State,Area Name,"Percent of adults with less than a high school diploma, 2000","Percent of adults with a high school diploma only, 2000","Percent of adults completing some college or associate's degree, 2000","Percent of adults with a bachelor's degree or higher, 2000","Less than a high school diploma, 2012-2016","High school diploma only, 2012-2016","Some college or associate's degree, 2012-2016","Bachelor's degree or higher, 2012-2016","Percent of adults with less than a high school diploma, 2012-2016","Percent of adults with a high school diploma only, 2012-2016","Percent of adults completing some college or associate's degree, 2012-2016","Percent of adults with a bachelor's degree or higher, 2012-2016"
TN,Williamson County,"9.9","19.8","25.9","44.4","5,879","20,803","31,085","75,277","4.4","15.6","23.4","56.6"
TN,Wilson County,"19.1","33.9","27.4","19.6","8,738","26,015","26,123","24,697","10.2","30.4","30.5","28.9"
TX,Texas,"24.3","24.8","27.6","23.2","3,015,952","4,286,126","4,982,373","4,800,677","17.7","25.1","29.2","28.1"
TX,Anderson County,"35.6","28.2","25.1","11.1","8,296","15,294","13,327","4,924","19.8","36.6","31.9","11.8"
TX,Andrews County,"32.0","32.6","23.0","12.4","2,669","3,635","2,808","1,085","26.2","35.6","27.5","10.6"
TX,Angelina County,"28.8","29.3","27.2","14.7","11,408","17,894","18,560","8,887","20.1","31.5","32.7","15.7"
TX,Aransas County,"25.4","29.1","28.9","16.7","3,072","5,205","6,330","3,695","16.8","28.4","34.6","20.2"
TX,Archer County,"18.9","36.0","29.2","15.9","604","2,108","2,050","1,328","9.9","34.6","33.7","21.8"
TX,Armstrong County,"17.6","27.8","34.1","20.5","139","365","541","314","10.2","26.9","39.8","23.1"
TX,Atascosa County,"34.8","32.0","22.8","10.5","7,426","10,864","7,480","4,290","24.7","36.1","24.9","14.3"
TX,Austin County,"25.5","32.3","24.9","17.3","3,457","5,744","6,336","4,128","17.6","29.2","32.2","21.0"
TX,Bailey County,"38.5","31.5","20.7","9.3","1,398","1,233","1,222","464","32.4","28.6","28.3","10.7"
TX,Bandera County,"15.2","31.9","33.4","19.4","2,108","4,940","5,105","3,846","13.2","30.9","31.9","24.0"
TX,Bastrop County,"23.1","31.7","28.2","17.0","10,076","15,426","16,846","9,525","19.4","29.7","32.5","18.4"
TX,Baylor County,"29.9","32.7","25.3","12.1","343","811","773","698","13.1","30.9","29.4","26.6"
TX,Bee County,"26.3","34.8","26.7","12.2","6,353","7,520","6,360","1,978","28.6","33.9","28.6","8.9"
TX,Bell County,"15.3","27.4","37.4","19.8","19,255","54,300","78,977","46,177","9.7","27.3","39.7","23.2"
TX,Bexar County,"23.1","24.3","30.0","22.7","194,124","296,560","365,072","315,328","16.6","25.3","31.2","26.9"
TX,Blanco County,"19.4","30.4","28.0","22.2","818","2,590","2,378","2,337","10.1","31.9","29.3","28.8"
TX,Borden County,"16.1","32.9","29.6","21.4","31","107","154","168","6.7","23.3","33.5","36.5"
